"StichtagDatJahr","AlterVSort","AlterVCd","AlterV05Sort","AlterV05Cd","AlterV05Kurz","AlterV10Cd","AlterV10Kurz","AlterV20Cd","AlterV20Kurz","SexCd","SexLang","SexKurz","KreisCd","KreisLang","QuarSort","QuarCd","QuarLang","HerkunftSort","HerkunftCd","HerkunftLang","AnzBestWir"
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","1","Kreis 1",11,"011","Rathaus",1,"1","Schweizer*in",11
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","1","Kreis 1",11,"011","Rathaus",1,"1","Schweizer*in",8
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","1","Kreis 1",11,"011","Rathaus",2,"2","Ausländer*in",1
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","1","Kreis 1",11,"011","Rathaus",2,"2","Ausländer*in",6
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","1","Kreis 1",12,"012","Hochschulen",1,"1","Schweizer*in",1
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","1","Kreis 1",12,"012","Hochschulen",1,"1","Schweizer*in",2
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","1","Kreis 1",13,"013","Lindenhof",1,"1","Schweizer*in",5
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","1","Kreis 1",13,"013","Lindenhof",1,"1","Schweizer*in",3
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","1","Kreis 1",13,"013","Lindenhof",2,"2","Ausländer*in",1
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","1","Kreis 1",13,"013","Lindenhof",2,"2","Ausländer*in",1
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","1","Kreis 1",14,"014","City",1,"1","Schweizer*in",2
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","1","Kreis 1",14,"014","City",2,"2","Ausländer*in",1
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","1","Kreis 1",14,"014","City",2,"2","Ausländer*in",2
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","10","Kreis 10",101,"101","Höngg",1,"1","Schweizer*in",61
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","10","Kreis 10",101,"101","Höngg",1,"1","Schweizer*in",63
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","10","Kreis 10",101,"101","Höngg",2,"2","Ausländer*in",16
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","10","Kreis 10",101,"101","Höngg",2,"2","Ausländer*in",19
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","10","Kreis 10",102,"102","Wipkingen",1,"1","Schweizer*in",37
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","10","Kreis 10",102,"102","Wipkingen",1,"1","Schweizer*in",29
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","10","Kreis 10",102,"102","Wipkingen",2,"2","Ausländer*in",38
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","10","Kreis 10",102,"102","Wipkingen",2,"2","Ausländer*in",42
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","11","Kreis 11",111,"111","Affoltern",1,"1","Schweizer*in",66
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","11","Kreis 11",111,"111","Affoltern",1,"1","Schweizer*in",59
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","11","Kreis 11",111,"111","Affoltern",2,"2","Ausländer*in",27
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","11","Kreis 11",111,"111","Affoltern",2,"2","Ausländer*in",23
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","11","Kreis 11",115,"115","Oerlikon",1,"1","Schweizer*in",56
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","11","Kreis 11",115,"115","Oerlikon",1,"1","Schweizer*in",44
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","11","Kreis 11",115,"115","Oerlikon",2,"2","Ausländer*in",32
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","11","Kreis 11",115,"115","Oerlikon",2,"2","Ausländer*in",40
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","11","Kreis 11",119,"119","Seebach",1,"1","Schweizer*in",52
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","11","Kreis 11",119,"119","Seebach",1,"1","Schweizer*in",53
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","1","männlich","M","11","Kreis 11",119,"119","Seebach",2,"2","Ausländer*in",44
1993,0,"0",1,"0","0-4","0","0-9","0","0-19","2","weiblich","W","11","Kreis 11",119,"119","Seebach",2,"2","Ausländer*in",32
