"Eidgenoessischer_Gebaeudeidentifikator","Eidgenoessischer_Eingangsidentifikator","Eidgenoessischer_Gebaeudeadressidentifikator","Eingangsnummer_Gebaeude","Eidgenoessischer_Strassenidentifikator","Strassenbezeichnung","Strassenbezeichnung_kurz","Strassenbezeichnung_Index","Strassenbezeichnung_Sprache_Code","Strassenbezeichnung_Sprache_Bezeichnung","Strassenbezeichnung_offiziell_Code","Strassenbezeichnung_offiziell_Bezeichnung","Postleitzahl","Postleitzahl-Zusatzziffer","Postleitzahl-Name","E-Eingangskoordinate","N-Eingangskoordinate","Offizielle_Adresse_Code","Offizielle_Adresse_Bezeichnung","Stichtag"
5577,0,100010305,"19",10001489,"Rickenbacherstrasse","Rickenbacherstr.","Ric",9901,"Deutsch",1,"Ja",8913,0,"Ottenbach",2673185.858,1236629.846,1,"Ja",2025-12-31
6792,0,100010306,"18b",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679725.137,1241683.493,1,"Ja",2025-12-31
6793,0,100010307,"18c",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679723.827,1241677.907,1,"Ja",2025-12-31
6794,0,100010308,"20b",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679748.711,1241691.926,1,"Ja",2025-12-31
6795,0,100010309,"22a",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679746.405,1241669.807,1,"Ja",2025-12-31
6796,0,100010310,"22b",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679745.127,1241664.284,1,"Ja",2025-12-31
6797,0,100010311,"22c",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679743.78,1241658.688,1,"Ja",2025-12-31
6798,0,100010312,"22d",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679742.329,1241652.94,1,"Ja",2025-12-31
6799,0,100010313,"24a",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679773.837,1241675.082,1,"Ja",2025-12-31
6800,0,100010314,"24c",10054201,"Balderenweg","Balderenweg","Bal",9901,"Deutsch",1,"Ja",8143,0,"Stallikon",2679771.199,1241663.921,1,"Ja",2025-12-31
15759,0,100010995,"16",10003416,"Böswisliweg","Böswisliweg","Bös",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682464.429,1263027.33,1,"Ja",2025-12-31
15760,0,100010996,"4",10003416,"Böswisliweg","Böswisliweg","Bös",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682372.289,1263121.099,1,"Ja",2025-12-31
15761,0,100010997,"2",10003416,"Böswisliweg","Böswisliweg","Bös",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682361.571,1263134.463,1,"Ja",2025-12-31
15762,0,100010998,"43",10003213,"Allmendstrasse","Allmendstr.","All",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682323.635,1263130.37,1,"Ja",2025-12-31
15763,0,100010999,"45",10003213,"Allmendstrasse","Allmendstr.","All",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682252.583,1263097.89,1,"Ja",2025-12-31
15764,0,100011000,"47",10003213,"Allmendstrasse","Allmendstr.","All",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682238.438,1263087.581,1,"Ja",2025-12-31
15765,0,100011001,"13",10057613,"Leeweg","Leeweg","Lee",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682239.129,1263057.727,1,"Ja",2025-12-31
15766,0,100011002,"15",10057613,"Leeweg","Leeweg","Lee",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682249.253,1263043.74,1,"Ja",2025-12-31
15767,0,100011003,"17",10057613,"Leeweg","Leeweg","Lee",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682269.238,1263057.635,1,"Ja",2025-12-31
15768,0,100011004,"19",10057613,"Leeweg","Leeweg","Lee",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682283.258,1263068.034,1,"Ja",2025-12-31
15769,0,100011005,"10",10057613,"Leeweg","Leeweg","Lee",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682190.91,1263105.408,1,"Ja",2025-12-31
15770,0,100011006,"12",10057613,"Leeweg","Leeweg","Lee",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682194.785,1263091.895,1,"Ja",2025-12-31
15771,0,100011007,"14",10057613,"Leeweg","Leeweg","Lee",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682210.519,1263048.211,1,"Ja",2025-12-31
15772,0,100011008,"16",10057613,"Leeweg","Leeweg","Lee",9901,"Deutsch",1,"Ja",8180,0,"Bülach",2682215.794,1263032.892,1,"Ja",2025-12-
